Name;HP;Gold;Exp;Damage;Hits;Hit Change;Status;Crit Chance;Absorb;Evade;Magic Defence;Run Level;Magic;Special Attack;Family;Weakness;Resists
IMP;8;6 G;6;4;1;85;-;1;4;3;8;13;0;0;Giant;-;-
GrIMP;16;18 G;18;8;1;86;-;1;6;5;12;20;0;0;Giant;-;-
WOLF;20;6 G;24;8;1;86;-;1;0;18;14;13;0;0;-;-;-
GrWOLF;72;22 G;93;14;1;93;-;1;0;27;23;14;0;0;-;-;-
WrWOLF;68;67 G;135;14;1;92;Poison;1;6;21;23;20;0;0;Magic Beast, Werebeast, Regenerating;-;-
FrWOLF;92;200 G;402;25;1;95;-;1;0;27;28;-;0;25;-;Fire;Cold
IGUANA;92;50 G;153;18;1;95;-;5;12;12;28;27;0;0;Dragon;-;-
AGAMA;296;1,200 G;2472;31;2;120;-;1;18;18;72;-;0;25;Dragon;Cold;Fire
SAURIA;196;658 G;1977;30;1;110;-;1;20;12;46;-;0;50;Dragon;-;-
GIANT;240;879 G;879;38;1;113;-;1;12;24;60;28;0;0;Giant;-;-
FrGIANT;336;1,752 G;1752;60;1;122;-;1;16;24;75;-;0;0;Giant;Fire;Cold
R.GIANT;300;1,506 G;1506;73;1;125;-;1;20;24;68;-;0;0;Giant;Cold;Fire
SAHAG;28;30 G;30;10;1;87;-;1;4;36;14;15;0;0;Aquatic;Lightning;Fire, Earth
R.SAHAG;64;105 G;105;15;1;92;-;1;8;39;23;31;0;0;Aquatic;Lightning;Fire, Earth
WzSAHAG;204;882 G;882;47;1;109;-;1;20;48;51;-;0;0;Aquatic;Lightning;Fire, Earth
PIRATE;6;40 G;40;8;1;85;-;1;0;6;8;-;0;0;-;-;-
KYZOKU;50;120 G;60;14;1;90;-;1;6;12;19;13;0;0;-;-;Earth
SHARK;120;66 G;267;22;1;99;-;1;0;36;35;21;0;0;Aquatic;Lightning;Fire, Earth
GrSHARK;344;600 G;2361;50;1;126;-;1;8;36;85;-;0;0;Aquatic;Lightning;Fire, Earth
OddEYE;10;10 G;42;4;1;85;-;1;0;42;7;15;0;100;-;Lightning;Fire, Earth
BigEYE;304;3,591 G;3591;30;2;121;-;1;16;12;78;-;0;50;Aquatic;Lightning;Fire, Earth
BONE;10;3 G;9;10;1;85;-;1;0;6;9;22;0;0;Undead;Fire;Status, Poison, Death, Cold
R.BONE;144;378 G;378;26;1;101;-;1;12;21;38;38;0;0;Undead;Fire;Status, Poison, Death, Cold
CREEP;56;15 G;63;17;1;91;-;1;8;12;20;12;0;0;-;Fire;-
CRAWL;84;200 G;186;1;8;94;Paralysis;1;8;21;26;13;0;0;-;-;-
HYENA;120;72 G;288;22;1;99;-;1;4;24;38;21;0;0;-;-;-
CEREBUS;192;600 G;1182;30;1;107;-;1;8;24;52;33;0;50;-;Cold;-
OGRE;100;195 G;195;18;1;96;-;1;10;9;33;18;0;0;Giant;-;-
GrOGRE;132;300 G;282;23;1;100;-;1;14;15;36;23;0;0;Giant;-;-
WzOGRE;144;723 G;723;23;1;101;-;1;10;27;40;27;50;0;Giant, Spellcaster, Regenerating;-;Earth
ASP;56;50 G;123;6;1;91;Poison;1;6;15;23;14;0;0;Dragon;-;-
COBRA;80;50 G;165;22;1;94;-;16;10;18;28;15;0;0;Dragon;-;-
SeaSNAKE;224;600 G;957;35;1;111;-;0;12;24;58;-;0;0;Dragon, Aquatic;Lightning;Fire, Earth
SCORPION;84;70 G;225;22;2;94;Poison;1;10;27;28;16;0;0;-;-;-
LOBSTER;148;300 G;639;35;3;102;Poison;1;18;30;43;-;0;0;Aquatic;Lightning;Fire, Earth
BULL;164;489 G;489;22;2;104;-;1;4;24;48;22;0;0;-;-;-
ZomBULL;224;1,050 G;1050;40;1;111;-;1;14;18;58;28;0;0;Undead;Fire;Status, Poison, Death, Cold
TROLL;184;621 G;621;24;3;106;-;1;12;24;50;28;0;0;Regenerating;Fire;-
SeaTROLL;216;852 G;852;40;1;110;-;1;20;24;55;-;0;0;Aquatic, Regenerating;Lightning;Earth
SHADOW;50;45 G;90;10;1;90;Darkness;1;0;18;19;22;0;0;Magic Beast, Undead;Fire;Status, Poison, Death, Cold, Earth
IMAGE;86;231 G;231;22;1;95;Paralysis;1;4;45;26;40;0;0;Magic Beast, Undead;Fire;Status, Poison, Death, Cold, Earth
WRAITH;114;432 G;432;40;1;98;Paralysis;1;12;54;34;40;0;0;Magic Beast, Undead;Fire;Status, Poison, Death, Cold, Earth
GHOST;180;990 G;990;93;1;106;Paralysis;1;30;18;43;-;0;0;Magic Beast, Undead;Fire;Status, Poison, Death, Cold, Earth
ZOMBIE;20;12 G;24;10;1;86;-;1;0;3;13;20;0;0;Undead;Fire;Status, Poison, Death, Cold, Earth
GHOUL;48;50 G;93;8;3;90;Paralysis;1;6;6;18;22;0;0;Undead;Fire;Status, Poison, Death, Cold
GEIST;56;117 G;117;8;3;91;Paralysis;1;10;23;20;40;0;0;Undead;Fire;Status, Poison, Death, Cold
SPECTER;52;150 G;150;20;1;90;Paralysis;1;12;21;23;40;0;0;Undead;Fire;Status, Poison, Death, Cold
WORM;448;1,000 G;4344;65;1;139;-;5;10;18;100;-;0;0;-;-;Earth
Sand W;200;900 G;2683;46;1;108;-;1;14;31;52;22;0;50;-;-;Earth
Grey W;280;400 G;1671;50;1;118;-;1;31;2;72;-;0;0;-;Cold;Fire, Earth
EYE;162;3,225 G;3225;30;1;104;-;1;30;6;46;-;63;23;Spellcaster;-;Earth
PHANTOM;360;1 G;1;120;1;158;Paralysis;20;60;12;80;-;50;25;Magic Beast, Undead, Regenerating;Fire;Status, Poison, Death, Cold, Earth
MEDUSA;68;699 G;699;20;1;92;Poison;1;10;18;28;35;0;50;-;-;-
GrMEDUSA;96;1,218 G;1218;11;10;96;Paralysis;1;12;36;35;-;0;50;Magic Beast;Fire;Cold, Earth
CATMAN;160;780 G;780;30;2;103;Poison;1;16;24;47;34;0;0;Magic Beast, Werebeast, Regenerating;-;-
MANCAT;110;800 G;603;20;3;98;-;1;30;30;31;35;75;0;Spellcaster;-;Status, Poison, Death, Fire, Cold, Lightning, Earth
PEDE;222;300 G;1194;39;1;111;Poison;1;20;24;58;16;0;0;-;-;-
GrPEDE;320;1,000 G;2244;73;1;123;-;1;24;24;93;48;0;0;-;-;Fire, Cold
TIGER;132;108 G;438;22;2;100;-;13;8;24;43;18;0;0;-;-;-
Saber T;200;500 G;843;24;2;108;-;35;8;21;53;50;0;0;-;-;-
VAMPIRE;156;2,000 G;1200;76;1;103;Paralysis;1;24;36;38;-;0;25;Magic Beast, Undead, Regenerating;Fire;Status, Poison, Death, Cold, Earth
WzVAMP;300;3,000 G;2385;90;1;104;Paralysis;1;28;36;42;-;25;19;Magic Beast, Undead, Spellcaster, Regenerating;Fire;Status, Poison, Death, Cold, Earth
GARGOYLE;80;80 G;132;12;4;94;-;1;8;23;27;26;0;0;Magic Beast;-;Earth
R.GOYLE;94;387 G;387;10;4;96;-;1;32;36;64;27;50;0;Magic Beast;-;Fire, Cold, Earth
EARTH;288;768 G;1536;66;1;119;-;1;20;9;65;-;0;0;Magic Beast;Fire;Status, Poison, Death, Cold, Lightning, Earth
FIRE;276;800 G;1620;50;1;118;-;1;20;21;65;-;0;0;Magic Beast;Cold;Status, Poison, Death, Fire, Earth
Frost D;200;2,000 G;1701;53;1;108;-;1;8;60;98;-;0;50;Dragon;Fire, Lightning;Poison, Cold, Earth
Red D;248;4,000 G;2904;75;1;114;-;1;30;48;100;-;0;50;Dragon;Poison, Cold;Fire, Earth
ZombieD;268;999 G;2331;56;1;117;Paralysis;1;30;12;68;-;0;0;Dragon, Undead;Fire;Status, Poison, Death, Cold, Earth
SCUM;24;20 G;84;1;1;84;Poison;1;255;0;18;22;0;0;-;Fire, Cold;Status, Poison, Death, Lightning, Earth
MUCK;76;70 G;255;30;1;93;-;1;7;2;28;36;0;0;-;Lightning;Status, Poison, Death, Fire, Cold, Earth
OOZE;76;70 G;252;32;1;93;-;1;6;3;28;32;0;0;-;Fire, Cold;Status, Poison, Death, Lightning, Earth
SLIME;156;900 G;1101;49;1;103;Poison;1;255;12;43;-;0;0;-;Fire;Status, Poison, Death, Cold, Lightning, Earth
SPIDER;28;8 G;30;10;1;87;-;1;0;15;14;15;0;0;-;-;-
ARACHNID;64;50 G;141;5;1;92;Poison;1;12;12;23;16;0;0;-;-;-
MANTICOR;164;650 G;1317;22;2;104;-;1;8;36;48;35;0;50;-;-;Earth
SPHINX;228;1,160 G;1160;23;3;112;-;1;12;60;58;26;0;0;-;-;Earth
R.ANKYLO;256;300 G;1428;60;3;115;-;1;38;28;65;33;0;0;-;-;-
ANKYLO;352;1 G;2610;98;1;127;-;1;48;24;78;32;0;0;-;-;-
MUMMY;80;300 G;300;30;1;94;Sleep;1;20;12;30;46;0;0;Undead;Fire;Status, Poison, Death, Cold
WzMUMMY;188;1,000 G;984;43;1;107;Sleep;1;24;12;48;34;0;0;Undead;Fire;Status, Poison, Death, Cold
COCTRICE;50;200 G;186;1;1;89;Stone;1;4;36;24;22;0;0;-;-;Earth
PERILISK;44;500 G;423;20;1;89;-;1;4;36;23;22;0;25;-;Cold;Fire, Earth
WYVERN;212;50 G;1173;30;1;110;Poison;1;12;48;58;35;0;0;Dragon;-;Earth
WYRM;260;502 G;1218;40;1;116;-;1;22;30;66;35;0;0;Dragon;-;Earth
TYRO;480;502 G;3387;65;1;150;-;1;10;30;100;32;0;0;Dragon;-;-
T REX;600;600 G;7200;115;1;155;-;15;10;30;100;35;0;0;Dragon;-;-
CARIBE;92;20 G;240;22;1;95;-;1;0;36;34;29;0;0;-;Lightning;Fire, Earth
R.CARIBE;172;46 G;546;37;1;105;-;1;20;36;42;31;0;0;-;-;-
GATOR;184;900 G;816;42;2;106;-;1;16;24;52;29;0;0;-;Lightning;Fire, Earth
FrGATOR;288;2,000 G;1890;56;2;119;-;1;20;24;72;31;0;0;Dragon;Lightning;Fire, Earth
OCHO;208;102 G;1224;20;3;109;Poison;1;24;12;58;48;0;0;-;Lightning;Fire, Earth
NAOCHO;344;500 G;3189;35;3;126;Poison;1;32;12;85;-;0;0;-;-;-
HYDRA;212;150 G;915;30;3;110;-;1;14;18;58;29;0;0;Dragon;-;-
R.HYDRA;182;400 G;1215;20;3;106;-;1;14;18;52;36;0;50;Dragon;Cold;Fire
GUARD;200;400 G;1224;25;2;108;Paralysis;1;40;36;55;-;0;0;-;Lightning;Status, Poison, Death
SENTRY;400;2,000 G;4000;102;1;128;-;1;48;48;80;35;0;0;-;Lightning;Status, Poison, Death, Fire, Cold, Earth
WATER;300;800 G;1962;69;1;117;-;1;20;36;65;-;0;0;Magic Beast;Cold;Status, Poison, Death, Fire, Earth
AIR;358;807 G;1614;53;1;114;-;1;4;72;65;-;0;0;Magic Beast;-;Status, Poison, Death, Earth
NAGA;356;2,355 G;2355;9;1;119;Poison;1;8;36;58;-;75;0;Aquatic, Spellcaster;Lightning;Fire, Earth
GrNAGA;420;4,000 G;3489;7;1;127;Poison;1;16;24;72;37;75;0;Spellcaster;-;-
CHIMERA;300;2,500 G;2064;30;4;113;-;1;20;36;65;-;0;50;Dragon;Cold;Fire, Earth
JIMERA;350;5,000 G;4584;40;4;118;-;1;18;30;72;-;0;50;Dragon;Cold;Fire, Earth
WIZARD;84;300 G;276;30;2;94;-;1;16;33;49;23;0;0;Magic Beast, Aquatic;-;Status, Poison, Fire, Cold
SORCERER;112;999 G;822;1;3;98;KO;1;12;24;94;25;0;50;-;-;-
GARLAND;106;250 G;130;15;1;97;-;1;10;6;32;-;0;0;-;-;-
Gas D;353;5,000 G;4068;72;1;117;-;1;16;48;100;-;0;50;Dragon;Cold;Earth
Blue D;454;2,000 G;3274;92;1;126;-;1;20;48;100;-;0;50;Dragon;-;Lightning, Earth
MudGOL;176;800 G;1257;64;1;105;Poison;1;7;14;47;-;25;0;Magic Beast, Spellcaster;-;Status, Poison, Death, Fire, Cold, Lightning
RockGOL;200;1,000 G;2385;70;1;108;-;1;16;12;55;-;38;0;Magic Beast, Spellcaster;-;Status, Poison, Death, Fire, Cold, Lightning, Earth
IronGOL;304;3,000 G;6717;93;1;121;-;1;100;12;72;-;0;13;Magic Beast;-;Status, Poison, Death, Fire, Cold, Earth
BADMAN;260;1,800 G;1263;44;2;116;-;1;38;18;68;-;0;0;-;-;-
EVILMAN;190;3,000 G;2700;55;1;107;-;1;32;21;87;-;25;0;Magic Beast, Spellcaster;-;Status, Poison, Death
ASTOS;168;2,000 G;2250;26;1;104;-;1;40;39;85;-;75;0;-;-;-
MAGE;105;1,095 G;1095;26;1;97;-;1;40;39;85;-;50;0;Spellcaster;-;-
FIGHTER;200;3,420 G;3420;40;1;106;-;1;38;45;93;39;38;0;Spellcaster;-;-
MADPONY;64;15 G;63;10;2;92;-;1;2;11;20;13;0;0;-;-;-
NITEMARE;200;700 G;1272;30;3;108;-;1;24;66;50;-;0;25;Magic Beast;Cold;Status, Poison, Death, Fire, Earth
WarMECH;1000;32,000 G;32000;128;2;183;-;1;80;48;100;-;0;25;Regenerating;-;Status, Poison, Death, Fire, Cold, Lightning, Earth
LICH;400;3,000 G;2200;40;1;108;Paralysis;1;40;12;60;-;75;0;Magic Beast, Undead, Spellcaster;Fire;Status, Poison, Death, Cold
LICH;500;1 G;2000;50;1;115;Paralysis;1;50;24;70;-;75;0;Magic Beast, Undead, Spellcaster;-;Status, Poison, Death, Cold
KARY;600;3,000 G;2475;40;6;115;-;1;50;24;92;-;38;0;Magic Beast, Spellcaster;Status;Poison, Fire, Cold, Lightning
KARY;700;1 G;2000;60;6;115;-;1;60;30;92;-;38;0;Magic Beast, Spellcaster;-;Poison, Fire, Cold, Lightning
KRAKEN;800;5,000 G;4245;50;8;128;-;1;60;42;80;-;0;25;Aquatic;Lightning;Fire, Earth
KRAKEN;900;1 G;2000;70;8;140;-;1;70;49;100;-;38;16;Aquatic;-;Fire, Earth
TIAMAT;1000;6,000 G;5496;49;4;123;-;1;80;36;100;-;0;50;Dragon;Poison;Fire, Cold, Lightning, Earth
TIAMAT;1100;1 G;2000;75;4;126;-;1;90;45;100;-;50;25;Dragon, Spellcaster;-;Fire, Cold, Lightning, Earth
CHAOS;2000;-;-;100;2;183;Paralysis;1;100;50;100;-;50;25;-;-;All elements
